gp_id,gp_name,lang_name
837,Attigodu,ಅತ್ತಿಗೊಡು
838,Attigunda,ಅತ್ತಿಗುಂದ
839,Attikodige,ಅತ್ತಿಕೊಡಿಗೆ
840,Attimage,ಅತ್ತಿಮಗೆ
841,Attimogge,ಅತ್ತಿಮೊಗ್ಗೆ
842,Attugulipura,ಪುರ
843,Aurad (b),ಅವರಾದ (ಬಿ)
844,Aurad (s),ಔರಾದ (ಎಸ್)
845,Aurad pattan panchayat,ಪಟ್ಟಣ
846,Avalagurki,ಆಲಗೂರ
847,Avalahalli(gp),ಆವಲಹಳ್ಳಿ
848,Avani,ಆವನಿ
849,Avaradi,ಅವರಾದಿ
850,Avaragolla,ಆವರಗೊಳ್ಳ
851,Avarsa,ಅವರ್ಸಾ
852,Avarse,ಆವರ್ಸೆ
853,Avarthi,ಆವರ್ತಿ
854,Avathi,ಆವತಿ
855,Avinahalli,ಆವಿನಹಳ್ಳಿ
856,Awaradi,ಆವರಾದಿ
857,Aweda,ಅವೆಡ
858,Ayanuru,ಅಯನೂರು
859,B b m p,ನಾಗರಾಳ-SP
859,B b m p,ನಾಗರಾಳ-SP
859,B b m p,ನಾಗರಾಳ-SP
859,B b m p,ನಾಗರಾಳ-SP
860,B bagewadi,ಬೆ.ಬಾಗೆವಾಡಿ
861,B bommasandra,ಬಿ.ಬೊಮ್ಮಸಂದ್ರ
862,B d pura,ಬಿ.ಡಿ ಪುರ
863,B k halli,ಬಿ.ಕೆ.ಹಳ್ಳಿ
864,B katihally,ಬಿ.ಕಾಟೀಹಳ್ಳಿ
865,B matakere,ಬಿ.ಮಟಕೇರೆ
866,B see halli,ಬಿ.ಸೀಹಳ್ಳಿ
867,B shetta halli,ಕೆ.ಶೆಟ್ಟಹಳ್ಳಿ
868,B. Hosuru(mandya),ಹೊಸೂರ
869,B. Kanabooru,ಬುಗಟೆಆಲೂರ
870,B. Shettigeri,ಬಿ. ಶೆಟ್ಟಿಗೇರಿ
871,B.beeranahalli,ಬಿ.ಬೀರನಹಳ್ಳಿ
872,B.durga,ಬಿ.ದುರ್ಗ
873,B.g.kere,ಬಿ.ಜಿ.ಕೆರೆ
874,B.ganekal,ಬಿ.ಗಣೇಕಲ್‌
875,B.gowdagere,ಬಿ.ಗೌಡಗೆರೆ
876,B.hosalli,ಹೊಸಳ್ಳಿ
877,B.m.suguru,ಬಿ.ಎಂ.ಸೂಗೂರು
878,B.salawadagi,ಬಿ.ಸಾಲವಾಡಗಿ
879,B.tarlgatta,ಬುಗಟೆಆಲೂರ
880,Baad,ಬಾಡ
881,Baalooru,ಆಲೂರು
882,Babalad i k,ಬಬಲಾದ (ಐಕೆ)
883,Babanagar,ಬಾಬಾನಗರ
884,Babbur,ಬಬ್ಬೂರು
885,Babeleswar,ಬಬಲೇಶ್ವರ
886,Bablad,ಬಬಲಾದ
887,Baby (mandya),ಬೇಬಿ
888,Bachahalli,ಬಾಚಹಳ್ಳಿ
889,Bachanaki,ಬಾಚಣಕಿ
890,Bachegowdanahalli,ಬಾಚೇಗೌಡನಹಳ್ಳಿ
891,Bachenahatti,ಬಾಚೇನಹಟ್ಟಿ
892,Bachigondanahalli,ಬಾಚಿಗೊಂಡನಹಳ್ಳಿ
893,Bad,ಬಾಡ
894,Bada,ಬಾಡ
895,Badachi,ಬಡಚಿ
896,Badadal,ಬಡದಾಳ
897,Badagabettu-80,ಬಾಡ
898,Badagakajekar,ಬಡಗಕಜೆಕಾರು
899,Badagandi,ಬಾಡಗಂಡಿ
900,Badagannur,ಬಡಗನ್ನೂರು
901,Badagi,ಬಾಡಗಿ
902,Badakanshirada,ಬಡಾಕಾನಶಿರಡಾ
903,Badakundri,ಬಡಕುಂದ್ರಿ
904,Badalgaon,ಬಾದಲಗಾಂವ್‌
905,Badanagoda,ಬದನಗೋಡ
906,Badanaguppe,ಬದನಗುಪ್ಪೆ
907,Badanahatti,ಬಾದನಹಟ್ಟಿ
908,Badanavalu,ಬದನವಾಳು
909,Badanidiyur,ಬಾಡ
910,Badarli,ಬಾದಲಿಱ
911,Badas k.h.,ಬಾಡ
912,Badavanahalli,ಬಡವನಹಳ್ಳಿ
913,Badeladaku,ಬಡೇಲಡಕು
914,Badigwad,ಬಡಿಗವಾಡ
915,Badiyal,ಬಾಡಿಯಾಳ
916,Badli,ಬಡ್ಲಿ
917,Badyapur,ಬಾದ್ಯಾಪುರ
918,Bagali,ಬಾಗಳಿ
919,Bagalur,ಬಗಲೂರ
920,Bagalwada,ಬಾಗಲವಾಡ
921,Bagdal,ಬಗದಲ
922,Bage,ಕಡಬಗೆರೆ
923,Bagenahalli,ಬಾಗೇನಹಳ್ಳಿ
924,Bagepally,ಬಾಗೇಪಲ್ಲಿ
925,Bageshpura,ಬಾಗೇಶಪುರ
926,Bagewadi (g),ಬಾಗೇವಾಡಿ
927,Baggavalli,ಬಗ್ಗವಳ್ಳಿ
928,Bagguru,ಬಗ್ಗೂರು
929,Bagivalu,ಬಾಗಿವಾಳು
929,Bagivalu,ಬಾಗಿವಾಳು
930,Bagur,ಬಾಗೂರು
931,Baguru,ಬಾಗೂರು
932,Bahadhurbandi,ಬಹದ್ದೂಬಂಡಿ
933,Bahidoddi,ಬಾಯಿದೊಡ್ಡಿ
934,Baichavalli,ಬ್ಯೆಚವಳ್ಳಿ
935,Baichbal,ಬೈಚಬಾಳ
936,Baigooru,ಐಗೂರು
937,Bail-hongal,ಬೈಲಹೊಂಗಲ
938,Bailakunti,ಬೈಲಕುಂಟಿ
939,Bailur (bgv),ಬೈಲೂರ
939,Bailur (bgv),ಬೈಲೂರ
940,Bailuru,ಬೈಲೂರ
941,Bailwad,ಬೈಲವಾಡ
942,Bairampalli,ಬೈರಂಪಳ್ಳಿ
943,Bajagooru,ಬಾಗಲೂರು
944,Bajara kunanga,ಬಜಾರ ಕುಣಂಗ
945,Bajathur,ಬಜತ್ತೂರು
946,Baktharahalli,ಭಕ್ತರಹಳ್ಳಿ
947,Balabatti,ಬಳಬಟ್ಟಿ
947,Balabatti,ಬಳಬಟ್ಟಿ
948,Balachavadi,ಬಲಚವಾಡಿ
949,Baladare,ಬಾಳ
950,Balagali,ಬಾಗಳಿ
951,Balaganchi,ಬಾಳಗಂಜಿ
952,Balaganur,ಬಳಗಾನೂರ
953,Balageri,ಆಲಗೇರಿ
954,Balakundhi,ಬಲಕುಂದಿ
955,Balakundi,ಬಲಕುಂದಿ
956,Balalasamudra,ಬಲ್ಲಾಳಸಮುದ್ರ
957,Balamande,ಬಲಮಂದೆ
958,Balambeed,ಬಾಳಂಬೀಡ
959,Balat (b),ಬಳತ್‌ (ಬಿ)
960,Balbatti 19,ಬಳಬಟ್ಟಿ
961,Bale,ಬಾಳೆ
962,Balehosur,ಬಾಳೆಹೂಸೂರ
963,Balekoppa,ಬಾಳೆಕೊಪ್ಪ
964,Balekundri b.k.,ಬಾಳೇಕುಂದ್ರಿ ಬಿ ಕೆ
965,Balekundri k.h.,ಬಾಳೇಕುಂದ್ರಿ ಕೆ ಎಚ್‌
966,Balele,ಬಾಳೆಲೆ
967,Balenja,ಬಾಳೆ
968,Balepuni,ಬಾಳೆಪುಣಿ
969,Balichakra,ಬಳಿಚಕ್ರ
970,Baliganahalli,ಬಾಳಿಗಾನಹಳ್ಳಿ
971,Balighatta,ಅಳಿಲುಘಟ್ಟ
972,Balila,ಬಾಳಿಲ
973,Balkunje,ಬಳ್ಕುಂಜೆ
974,Balkur,ಬಳ್ಕೂರು
975,Balkuru,ಬಳ್ಕೂರು
976,Balla,ಬಲ್ಲ
977,Ballagere,ಬಳ್ಳಗೆರೆ
978,Ballamavatti,ಬಲ್ಲಮಾವಟಿ
979,Ballatagi,ಬಲ್ಲಟಗಿ
980,Ballekere,ಬಳ್ಳೇಕೆರೆ
981,Ballena hally,ಬಲ್ಲೇನಹಳ್ಳಿ
981,Ballena hally,ಬಲ್ಲೇನಹಳ್ಳಿ
982,Balliganur,ಬಳ್ಳಿಗನೂರು
983,Balligavi,ಬೆಳ್ಳಿಗಾವಿ
