gpid,designation,name
3051,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಮಂಜುಳ 
3051,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಸಿ. ಹನುಮಂತಪ್ಪ 
3051,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಜೆ. ಬಿ.ಶಶಿಕುಮಾರ
3051,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಜೆ. ಬಿ.ಗಂಗಾಧರ
3257,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಗೋಪಮ್ಮ 
3257,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಬಸವರಾಜ ವೀರಪ್ಪ  ಬಳೂಟಗಿ 
3257,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಸತ್ಯನಾರಾಯಣ
3257,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಬಸವರಾಜ
1706,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಹನುಮಂತಪ್ಪ 
1706,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ವಿಜಯಲಕ್ಷ್ಮೀ. ಎಮ್.ಎಸ್ 
1706,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಮೀನಾ.ಆರ್
1706,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಭಾಗ್ಯಮ್ಮ
6420,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಲಕ್ಷ್ಮೀ. ಎಚ್.ಎನ್  
6420,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ತಿಪ್ಪಯ್ಯ 
6420,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಸ್ವಾತಿ. ವೈ
6420,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಅಮೃತ. ಎಸ್. ಬಿ
4424,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ರತ್ನಮ್ಮ 
4424,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ನಾರಾಯಣ ಸ್ವಾಮಿ. ಎಚ್.ಕೆ 
